hero,matchup_hero,ally_wins_with,ally_losses_with,ally_win_rate,enemy_wins_against,enemy_losses_against,enemy_win_rate,winrate_into_enemy,total_games_with,total_games_against,popularity_with,popularity_against,total games,total wins,total loss,average_winrate,total wins,total loss,total_games,ally_delta,matchup_average_winrate,occurance,Pairing Score,enemy_delta,enemy_delta2,counter_score,Counter Score,Beater Score
Abathur,Alarak,464.0116,521.9884,0.4706,974.9432,887.0568,0.5236,0.4764,986,1862,0.00609471748,0.008331822068,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4928227989,0.5364928295,1862,0.2843390852,0.4994998029,-0.8003157004,0.432604039,0.3120282658,0.2921356211
Abathur,Alexstrasza,395.0312,412.9688,0.4889,595.023,449.977,0.5694,0.4306,808,1045,0.005958703593,0.004445711029,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5138873868,0.5417967946,1045,0.2892048254,0.4469707879,-85.16703351,0.2311227613,0.2597645205,0.5379600242
Abathur,Ana,438.022,552.978,0.442,525.0552,630.9448,0.4542,0.5458,991,1156,0.009605171118,0.006632296173,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4599811233,0.4831871358,1156,0.2655586015,0.5787387603,127.0392087,0.2881306217,0.3406147538,-0.1332143887
Abathur,Anduin,2383.974,2836.026,0.4567,3056.848,3106.152,0.496,0.504,5220,6163,0.0383494391,0.03010958833,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4768359332,0.4981803808,6163,0.3388355308,0.531234751,50.04076315,1.473326643,0.3854088247,0.1390452332
Abathur,Anubarak,1421.07,1608.93,0.469,2485.8652,1920.1348,0.5642,0.4358,3030,4406,0.02249410606,0.01905748854,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4909812161,0.537522979,4406,0.3259540357,0.4528974111,-75.58827952,0.9800596639,0.3150768946,0.6077946244
Abathur,Artanis,1256.0298,1320.9702,0.4874,1333.956,1318.044,0.503,0.497,2577,2652,0.02365346252,0.02502137361,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5121616215,0.5258485696,2652,0.3332019165,0.5231997586,37.14628663,0.6294624349,0.3416059146,0.1708391694
Abathur,Arthas,623.0326,742.9674,0.4561,843.9404,952.0596,0.4699,0.5301,1366,1796,0.009300759087,0.007906940594,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4761466848,0.4901740458,1796,0.2861430875,0.5610185588,98.11873989,0.4407767672,0.3488804842,-0.04312334718
Abathur,Auriel,546.9751,622.0249,0.4679,751.013,611.987,0.551,0.449,1169,1363,0.008199694293,0.007492422083,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.4897152669,0.5306369605,1363,0.2886234502,0.4679981927,-51.27298094,0.3075674391,0.2811689212,0.4455795673
Abathur,Azmodan,610.0284,673.9716,0.4751,1437.9288,1323.0712,0.5208,0.4792,1284,2761,0.01546024508,0.01747713671,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.498003133,0.5203752948,2761,0.2969708757,0.5027233949,4.357474908,0.6433556399,0.3298933443,0.2885073032
Abathur,Blaze,946.9767,986.0233,0.4899,1587.0316,1443.9684,0.5236,0.4764,1933,3031,0.01474131454,0.01270499236,41028.80268,19564.0413,21464.76138,0.4768344659,19564.0413,21464.76138,164116,0.5150377156,0.521646585,3031,0.3232430317,0.4994998029,-0.8003157004,0.7042013116,0.331623058,0.3104811924
