Hero Name,Healer,Tank,RangedDPS,Flex,Offlane
Abathur,0.36,0.04,0.04,0.64,0.36
Alarak,0.2,0.2,0.2,1,0.2
Alexstrasza,1.4,0.2,0.2,0.2,0.6
Ana,1.4,0.2,0.2,0.2,0.2
Anduin,2,0.2,0.2,0.2,0.2
Anubarak,0.2,1.6,0.2,0.2,0.2
Artanis,0.2,0.6,0.2,0.6,1
Arthas,0.2,0.8,0.2,0.2,0.2
Auriel,1.2,0.6,0.2,0.6,0.2
Azmodan,0.2,0.2,0.8,0.2,0.2
Blaze,0.2,0.6,0.2,0.6,1.8
Brightwing,2,0.2,0.2,0.2,0.2
Cassia,0.2,0.2,1.2,1.2,0.2
Chen,0.2,0.6,0.2,0.6,1.2
Cho,0,0,0,0,0
Chromie,0.2,0.2,1,1.4,0.2
DVa,0.2,0.4,0.2,0.6,1.2
Deathwing,0.2,0.6,0.2,0.6,0.6
Deckard,1.4,0.6,0.2,0.4,0.2
Dehaka,0.2,1,0.2,0.6,1.6
Diablo,0.2,1.8,0.2,0.2,0.2
E.T.C.,0.2,1.2,0.2,0.4,0.6
Falstad,0.2,0.2,1,1.6,0.8
Fenix,0.2,0.2,1.6,0.4,0.4
Gall,0,0,0,0,0
Garrosh,0.2,1.6,0.2,0.2,1
Gazlowe,0.2,0.2,0.2,0.4,0.2
Genji,0.2,0.2,1,1.4,0.2
Greymane,0.2,0.2,1.4,1.6,0.2
Guldan,0.2,0.2,1.2,0.6,0.8
Hanzo,0.2,0.2,1.4,1.6,0.2
Hogger,0.2,0.2,0.2,1,1.6
Illidan,0.2,0.2,0.2,0.2,1
Imperius,0.2,1.2,0.2,1,0.8
Jaina,0.2,0.2,1,1,0.2
Johanna,0.2,2,0.2,0.2,1.2
Junkrat,0.2,0.2,1.6,1.4,0.2
Kaelthas,0.2,0.2,0.2,0.6,0.2
KelThuzad,0.2,0.2,0.2,0.6,0.2
Kerrigan,0.2,0.2,0.2,0.8,0.2
Kharazim,1,0.2,0.2,0.8,0.6
Leoric,0.2,0.4,0.2,0.4,1.6
LiLi,0.6,0.2,0.2,0.2,0.2
Li-Ming,0.2,0.2,0.8,1.6,0.2
LtMorales,1,0.2,0.2,0.2,0.2
Lucio,2,0.2,0.2,0.2,0.2
Lunara,0.2,0.2,1.2,1.4,0.2
Maiev,0.2,1.2,0.2,1.8,0.6
MalGanis,0.2,0.8,0.2,0.2,0.2
Malfurion,1.4,0.2,0.2,0.2,0.2
Malthael,0.2,0.2,0.2,1.4,1.4
Medivh,0.2,0.2,0.2,0.6,0.2
Mei,0.2,0.8,0.2,0.2,0.2
Mephisto,0.2,0.2,1.6,0.4,0.2
Muradin,0.2,1.6,0.2,0.2,0.2
Murky,0.2,0.2,0.2,0.2,0.4
Nazeebo,0.2,0.2,1.2,1.2,0.2
Nova,0.2,0.2,0.2,0.6,0.2
Orphea,0.2,0.2,1.4,0.8,0.8
Probius,0.2,0.2,0.4,0.4,0.2
Qhira,0.2,0.2,0.2,0.8,0.8
Ragnaros,0.2,0.2,0.2,0.4,0.8
Raynor,0.2,0.2,0.8,0.8,0.8
Rehgar,1.8,0.2,0.2,0.6,0.8
Rexxar,0.2,0.2,0.2,0.8,1.4
Samuro,0.2,0.2,0.2,0.4,1.2
SgtHammer,0.2,0.2,1.2,0.6,0.6
Sonya,0.2,0.8,0.2,1.2,1.4
Stitches,0.2,1.4,0.2,0.2,0.8
Stukov,1.6,0.8,0.2,0.6,0.2
Sylvanas,0.2,0.2,2,1,0.2
Tassadar,0.2,0.2,0.8,1,0.2
TheButcher,0.2,0.2,0.2,0.6,0.6
TheLostVikings,0.2,0.2,0.2,0.2,1
Thrall,0.2,1,0.2,1.6,0.4
Tracer,0.2,0.2,0.6,1.2,0.2
Tychus,0.2,0.2,1.4,1.4,0.2
Tyrael,0.2,1.2,0.2,1.2,0.2
Tyrande,1.4,0.2,0.2,0.8,0.2
Uther,1.4,1.2,0.2,0.2,0.2
Valeera,0.2,0.2,0.2,0.4,0.2
Valla,0.2,0.2,1.4,0.4,0.2
Varian,0.2,1.4,0.2,0.8,0.6
Whitemane,1.4,0.2,0.2,0.2,0.2
Xul,0.2,0.2,0.2,1.2,1.2
Yrel,0,0.6,0.2,0.4,1.2
Zagara,0.2,0.2,1.2,1.2,0.2
Zarya,0.2,0.2,0.2,1,0.2
Zeratul,0.2,0.2,0.2,1,1
ZulJin,0.2,0.2,1.2,1,0.2
DEFAULT,0,0,0,0,0
